,Artists,Titles,Lyrics(BOW)
0,otis redding,these arms of mine,"['these', 'arm', 'of', 'mine', 'they', 'are', 'lone', 'lone', 'and', 'feel', 'blue', 'these', 'arm', 'of', 'mine', 'they', 'are', 'yearn', 'yearn', 'from', 'want', 'you', 'and', 'if', 'you', 'would', 'let', 'them', 'hold', 'you', 'Oh', 'how', 'grate', 'I', 'will', 'be', 'these', 'arm', 'of', 'mine', 'they', 'are', 'burn', 'burn', 'from', 'want', 'you', 'these', 'arm', 'of', 'mine', 'they', 'are', 'want', 'want', 'to', 'hold', 'you', 'and', 'if', 'you', 'would', 'let', 'them', 'hold', 'you', 'ohh', 'how', 'grate', 'I', 'will', 'be', 'come', 'on', 'come', 'on', 'babi', 'just', 'be', 'my', 'littl', 'woman', '(', 'yeah', ')', 'just', 'be', 'my', 'lover', 'I', 'need', 'somebodi', '(', 'somebodi', ')', 'To', 'treat', 'me', 'right', '(', 'ohh', ')', 'I', 'need', 'your', 'warm', 'love', 'arm', 'to', 'hold', 'me', 'tight', 'and', 'I', 'need', 'your', 'tender', 'lip', 'too', 'hold', 'me', 'hold', 'me']"
1,laura mvula,she,"['she', 'walk', 'toward', 'you', 'with', 'her', 'head', 'down', 'low', 'she', 'wonder', 'if', 'there', 'wa', 'a', 'way', 'out', 'of', 'the', 'blue', 'who', ""'s"", 'gon', 'na', 'take', 'her', 'home', 'thi', 'time', '?', 'she', 'knew', 'that', 'thi', 'time', 'would', ""n't"", 'be', 'the', 'last', 'time', 'Oh', 'oh', 'oh', 'oh', 'there', 'she', 'wait', 'look', 'for', 'a', 'savior', 'someon', 'to', 'save', 'her', 'from', 'a', 'die', 'self', 'alway', 'take', 'ten', 'step', 'back', 'and', 'one', 'step', 'forward', 'she', ""'s"", 'tire', 'but', 'she', 'do', ""n't"", 'stop', 'Oh', 'oh', 'oh', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'Oh', 'oh', 'oh', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'everi', 'day', 'she', 'stood', 'hope', 'for', 'a', 'new', 'life', 'she', 'close', 'her', 'eye', 'and', 'she', 'heard', 'a', 'small', 'voic', 'say', 'you', 'do', ""n't"", 'stop', 'no', 'you', 'belong', 'to', 'me', 'she', 'cri', 'mayb', 'it', ""'s"", 'too', 'late', 'Do', ""n't"", 'do', ""n't"", 'stop', 'do', ""n't"", 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'do', ""n't"", 'stop', 'she', 'walk', 'toward', 'you', 'with', 'her', 'head', 'down', 'low', 'she', 'wonder', 'if', 'there', 'wa', 'a', 'way', 'out', 'of', 'the', 'blue', 'who', ""'s"", 'gon', 'na', 'take', 'her', 'home', 'thi', 'time', '?', 'she', 'knew', 'that', 'thi', 'time', 'would', ""n't"", 'be', 'the', 'last', 'time']"
2,laura mvula,green garden,"['take', 'me', 'outsid', 'sit', 'in', 'the', 'green', 'garden', 'nobodi', 'out', 'there', 'but', 'it', ""'s"", 'okay', 'now', 'bath', 'in', 'the', 'sunlight', 'do', ""n't"", 'mind', 'if', 'rain', 'fall', 'take', 'me', 'outsid', 'sit', 'in', 'the', 'green', 'garden', 'and', 'I', ""'ll"", 'fli', 'on', 'the', 'wing', 'of', 'a', 'butterfli', 'high', 'as', 'a', 'tree', 'tall', 'and', 'down', 'again', 'put', 'my', 'back', 'down', 'take', 'my', 'shoe', 'off', 'walk', 'on', 'the', 'carpet', 'a', 'green', 'velvet', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'take', 'me', 'outsid', 'sit', 'in', 'the', 'green', 'garden', 'nobodi', 'out', 'there', 'but', 'it', ""'s"", 'okay', 'now', 'bath', 'in', 'the', 'sunlight', 'do', ""n't"", 'mind', 'if', 'rain', 'fall', 'take', 'me', 'outsid', 'sit', 'in', 'the', 'green', 'garden', 'and', 'I', ""'ll"", 'fli', 'on', 'the', 'wing', 'of', 'a', 'butterfli', 'high', 'as', 'a', 'tree', 'tall', 'and', 'down', 'again', 'put', 'my', 'back', 'down', 'take', 'my', 'shoe', 'off', 'walk', 'on', 'the', 'carpet', 'a', 'green', 'velvet', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to', 'danc', 'in', 'my', 'garden', 'like', 'we', 'use', 'to']"
3,drake,hotline bling,"['you', 'use', 'to', 'call', 'me', 'on', 'my', 'you', 'use', 'to', 'you', 'use', 'to', 'yeah', 'you', 'use', 'to', 'call', 'me', 'on', 'my', 'cell', 'phone', 'late', 'night', 'when', 'you', 'need', 'my', 'love', 'call', 'me', 'on', 'my', 'cell', 'phone', 'late', 'night', 'when', 'you', 'need', 'my', 'love', 'and', 'I', 'know', 'when', 'that', 'hotlin', 'bling', 'that', 'can', 'onli', 'mean', 'one', 'thing', 'I', 'know', 'when', 'that', 'hotlin', 'bling', 'that', 'can', 'onli', 'mean', 'one', 'thing', 'ever', 'sinc', 'I', 'left', 'the', 'citi', 'you', 'got', 'a', 'reput', 'for', 'yourself', 'now', 'everybodi', 'know', 'and', 'I', 'feel', 'left', 'out', 'girl', 'you', 'got', 'me', 'down', 'you', 'got', 'me', 'stress', 'out', 'caus', 'ever', 'sinc', 'I', 'left', 'the', 'citi', 'you', 'start', 'wear', 'less', 'and', 'goin', ""'"", 'out', 'more', 'glass', 'of', 'champagn', 'out', 'on', 'the', 'danc', 'floor', 'hangin', ""'"", 'with', 'some', 'girl', 'I', ""'ve"", 'never', 'seen', 'befor', 'you', 'use', 'to', 'call', 'me', 'on', 'my', 'cell', 'phone', 'late', 'night', 'when', 'you', 'need', 'my', 'love', 'call', 'me', 'on', 'my', 'cell', 'phone', 'late', 'night', 'when', 'you', 'need', 'my', 'love', 'I', 'know', 'when', 'that', 'hotlin', 'bling', 'that', 'can', 'onli', 'mean', 'one', 'thing', 'I', 'know', 'when', 'that', 'hotlin', 'bling', 'that', 'can', 'onli', 'mean', 'one', 'thing', 'ever', 'sinc', 'I', 'left', 'the', 'citi', 'you', 'you', 'you', 'you', 'and', 'me', 'we', 'just', 'do', ""n't"", 'get', 'along', 'you', 'make', 'me', 'feel', 'like', 'I', 'did', 'you', 'wrong', 'go', 'place', 'where', 'you', 'do', ""n't"", 'belong', 'ever', 'sinc', 'I', 'left', 'the', 'citi', 'you', 'you', 'got', 'exactli', 'what', 'you', 'ask', 'for', 'run', 'out', 'of', 'page', 'in', 'your', 'passport', 'hang', 'with', 'some', 'girl', 'I', ""'ve"", 'never', 'seen', 'befor', 'you', 'use', 'to', 'call', 'me', 'on', 'my', 'cell', 'phone', 'late', 'night', 'when', 'you', 'need', 'my', 'love', 'call', 'me', 'on', 'my', 'cell', 'phone', 'late', 'night', 'when', 'you', 'need', 'my', 'love', 'and', 'I', 'know', 'when', 'that', 'hotlin', 'bling', 'that', 'can', 'onli', 'mean', 'one', 'thing', 'I', 'know', 'when', 'that', 'hotlin', 'bling', 'that', 'can', 'onli', 'mean', 'one', 'thing', 'these', 'day', 'all', 'I', 'do', 'is', 'wonder', 'if', 'you', ""'re"", 'bendin', ""'"", 'over', 'backward', 'for', 'someon', 'els', 'wonder', 'if', 'you', ""'re"", 'roll', 'up', 'a', 'backwood', 'for', 'someon', 'els', 'do', 'thing', 'I', 'taught', 'you', 'gettin', ""'"", 'nasti', 'for', 'someon', 'els', 'you', 'do', ""n't"", 'need', 'no', 'one', 'els', 'you', 'do', ""n't"", 'need', 'nobodi', 'els', 'no', 'whi', 'you', 'never', 'alon', 'whi', 'you', 'alway', 'touch', 'road', 'use', 'to', 'alway', 'stay', 'at', 'home', 'be', 'a', 'good', 'girl', 'you', 'wa', 'in', 'the', 'zone', 'yeah', 'you', 'should', 'just', 'be', 'yourself', 'right', 'now', 'you', ""'re"", 'someon', 'els', 'you', 'use', 'to', 'call', 'me', 'on', 'my', 'cell', 'phone', 'late', 'night', 'when', 'you', 'need', 'my', 'love', 'call', 'me', 'on', 'my', 'cell', 'phone', 'late', 'night', 'when', 'you', 'need', 'my', 'love', 'and', 'I', 'know', 'when', 'that', 'hotlin', 'bling', 'that', 'can', 'onli', 'mean', 'one', 'thing', 'I', 'know', 'when', 'that', 'hotlin', 'bling', 'that', 'can', 'onli', 'mean', 'one', 'thing', 'ever', 'sinc', 'I', 'left', 'the', 'citi', '...']"
4,bob marley,three little birds,"['Do', ""n't"", 'worri', 'about', 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '!', 'rise', 'up', 'thi', 'mornin', ""'"", 'smile', 'with', 'the', 'risin', ""'"", 'sun', '3', 'littl', 'bird', 'pitch', 'by', 'my', 'doorstep', 'singin', ""'"", 'sweet', 'song', 'Of', 'melodi', 'pure', 'and', 'true', 'sayin', ""'"", '(', '``', 'thi', 'is', 'my', 'messag', 'to', 'you-ou-', ':', ""''"", ')', 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', ""'bout"", 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', '(', 'do', ""n't"", 'worri', ')', ""'bout"", 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '!', ""''"", 'rise', 'up', 'thi', 'mornin', ""'"", 'smile', 'with', 'the', 'risin', ""'"", 'sun', '3', 'littl', 'bird', 'pitch', 'by', 'my', 'doorstep', 'singin', ""'"", 'sweet', 'song', 'Of', 'melodi', 'pure', 'and', 'true', 'sayin', ""'"", '``', 'thi', 'is', 'my', 'messag', 'to', 'you-ou-', ':', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', 'worri', 'about', 'a', 'thing', 'oh', '!', 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', 'Do', ""n't"", 'worri', '!', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', ""''"", '-', 'I', 'wo', ""n't"", 'worri', '!', '``', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', ""''"", '-', 'I', 'wo', ""n't"", 'worri', '!', 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '.', ""''"", 'singin', ""'"", ':', '``', 'Do', ""n't"", 'worri', 'about', 'a', 'thing', 'oh', 'no', '!', ""'caus"", 'everi', 'littl', 'thing', 'gon', 'na', 'be', 'all', 'right', '!', 'By', 'bob', 'marley']"
5,stevie wonder,masterblaster,"['everyon', ""'s"", 'feel', 'pretti', 'It', ""'s"", 'hotter', 'than', 'juli', 'though', 'the', 'world', ""'s"", 'full', 'of', 'problem', 'they', 'could', ""n't"", 'touch', 'us', 'even', 'if', 'they', 'tri', 'from', 'the', 'park', 'I', 'hear', 'rhythm', 'marley', ""'s"", 'hot', 'on', 'the', 'box', 'tonight', 'there', 'will', 'be', 'a', 'parti', 'On', 'the', 'corner', 'at', 'the', 'end', 'of', 'the', 'block', 'did', ""n't"", 'know', 'you', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'I', 'bet', 'nobodi', 'ever', 'told', 'you', 'that', 'you', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'you', 'would', 'be', 'jammin', ""'"", 'and', 'jammin', ""'"", 'and', 'jammin', ""'"", 'jam', 'on', 'they', 'want', 'us', 'to', 'join', 'their', 'fight', 'but', 'our', 'answer', 'today', 'Is', 'to', 'let', 'all', 'our', 'worri', 'like', 'the', 'breez', 'through', 'our', 'finger', 'slip', 'away', 'peac', 'ha', 'come', 'to', 'zimbabw', 'third', 'world', ""'s"", 'right', 'on', 'the', 'one', 'now', ""'s"", 'the', 'time', 'for', 'celebr', ""'caus"", 'we', ""'ve"", 'onli', 'just', 'begun', 'did', ""n't"", 'know', 'that', 'you', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'bet', 'you', 'nobodi', 'ever', 'told', 'you', 'that', 'you', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'you', 'would', 'be', 'jammin', ""'"", 'and', 'jammin', ""'"", 'and', 'jammin', ""'"", 'jam', 'on', 'bet', 'you', 'nobodi', 'ever', 'told', 'you', 'that', 'you', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'I', 'know', 'nobodi', 'told', 'you', 'that', 'you', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'We', ""'re"", 'jammin', ""'"", 'jammin', ""'"", 'jammin', ""'"", 'jam', 'on', 'you', 'ask', 'me', 'am', 'I', 'happi', 'well', 'as', 'matter', 'of', 'fact', 'I', 'can', 'say', 'that', 'I', ""'m"", 'ecstat', ""'caus"", 'we', 'all', 'just', 'made', 'a', 'pact', 'We', ""'ve"", 'agre', 'to', 'get', 'togeth', 'join', 'as', 'children', 'in', 'jah', 'when', 'you', ""'re"", 'move', 'in', 'the', 'posit', 'your', 'destin', 'is', 'the', 'brightest', 'star', 'you', 'did', ""n't"", 'know', 'that', 'you', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'I', 'bet', 'you', 'nobodi', 'ever', 'told', 'you', 'that', 'you', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'Oh', 'Oh', 'Oh', 'Oh', 'Oh', 'you', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'Do', ""n't"", 'you', 'stop', 'the', 'music', 'oh', 'no', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'Na', 'na', 'na', '...', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'nobodi', 'told', 'you', 'Oh', 'Oh', 'Oh', 'you', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', 'I', 'bet', 'you', 'if', 'someon', 'approach', 'you', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'yesterday', 'to', 'tell', 'you', 'that', 'you', 'would', 'be', 'jammin', ""'"", 'you', 'would', 'not', 'believ', 'it', 'becaus', 'you', 'never', 'thought', 'that', 'you', 'would', 'be', 'jammin', ""'"", 'Oh', 'Oh', 'Oh', 'Oh', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'jammin', ""'"", ""'til"", 'the', 'break', 'of', 'dawn', 'Oh', 'Oh', 'Oh', 'you', 'may', 'as', 'well', 'believ', 'what', 'you', 'are', 'feel', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'becaus', 'you', 'feel', 'your', 'bodi', 'jammin', ""'"", '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', 'Oh', 'Oh', 'you', 'would', 'be', 'jammin', ""'"", 'until', 'the', 'break', 'of', 'dawn', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')', '(', 'We', ""'re"", 'in', 'the', 'middl', 'of', 'the', 'makin', ""'s"", 'of', 'the', 'master', 'blaster', 'jammin', ""'"", ')']"
6,marvin gaye,inner city blues,"['dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'rocket', 'moon', 'shot', 'spend', 'it', 'on', 'the', 'have', 'not', 'money', 'we', 'make', 'it', 'fore', 'we', 'see', 'it', 'you', 'take', 'it', 'Oh', 'make', 'you', 'wan', 'na', 'holler', 'the', 'way', 'they', 'do', 'my', 'life', 'make', 'me', 'wan', 'na', 'holler', 'the', 'way', 'they', 'do', 'my', 'life', 'thi', 'ai', ""n't"", 'livin', ""'"", 'thi', 'ai', ""n't"", 'livin', ""'"", 'No', 'no', 'babi', 'thi', 'ai', ""n't"", 'livin', ""'"", 'No', 'no', 'no', 'inflat', 'no', 'chanc', 'To', 'increas', 'financ', 'bill', 'pile', 'up', 'sky', 'high', 'send', 'that', 'boy', 'off', 'to', 'die', 'make', 'me', 'wan', 'na', 'holler', 'the', 'way', 'they', 'do', 'my', 'life', 'make', 'me', 'wan', 'na', 'holler', 'the', 'way', 'they', 'do', 'my', 'life', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'hang', 'up', 'let', 'down', 'bad', 'break', 'set', 'back', 'natur', 'fact', 'is', 'I', 'ca', ""n't"", 'pay', 'my', 'tax', 'Oh', 'make', 'me', 'wan', 'na', 'holler', 'and', 'throw', 'up', 'both', 'my', 'hand', 'yea', 'it', 'make', 'me', 'wan', 'na', 'holler', 'and', 'throw', 'up', 'both', 'my', 'hand', 'crime', 'is', 'increas', 'trigger', 'happi', 'polic', 'panic', 'is', 'spread', 'god', 'know', 'where', 'we', ""'re"", 'head', 'Oh', 'make', 'me', 'wan', 'na', 'holler', 'they', 'do', ""n't"", 'understand', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'dah', 'mother', 'mother', 'everybodi', 'think', 'we', ""'re"", 'wrong', 'who', 'are', 'they', 'to', 'judg', 'us', 'simpli', 'caus', 'we', 'wear', 'our', 'hair', 'long']"
7,curtis mayfield,move on up,"['hush', 'now', 'child', 'and', 'do', ""n't"", 'you', 'cri', 'your', 'folk', 'might', 'understand', 'you', 'by', 'and', 'by', 'So', 'in', 'the', 'mean', 'time', 'move', 'on', 'up', 'toward', 'your', 'destin', 'though', 'you', 'may', 'find', 'from', 'time', 'to', 'time', 'complic', 'bite', 'your', 'lip', 'and', 'take', 'a', 'trip', 'though', 'there', 'may', 'be', 'wet', 'road', 'ahead', 'and', 'you', 'can', 'not', 'slip', 'so', 'what', 'you', 'wan', 'na', 'do', 'just', 'move', 'on', 'up', 'for', 'peac', 'you', 'will', 'find', 'into', 'the', 'steepl', 'of', 'beauti', 'peopl', 'where', 'there', ""'s"", 'onli', 'one', 'kind', 'So', 'hush', 'now', 'child', 'and', 'do', ""n't"", 'you', 'cri', 'your', 'folk', 'might', 'understand', 'you', 'by', 'and', 'by', 'So', 'what', 'are', 'we', 'wan', 'na', 'do', 'is', 'move', 'on', 'up', 'for', 'a', 'greater', 'day', 'but', 'just', 'you', 'gon', 'na', 'make', 'it', 'you', 'put', 'your', 'mind', 'to', 'it', 'you', 'can', 'sure', 'do', 'it', 'take', 'noth', 'less', 'than', 'the', 'suprem', 'best', 'Do', 'not', 'obey', 'for', 'most', 'peopl', 'say', ""'caus"", 'you', 'can', 'past', 'the', 'test', 'So', 'what', 'we', 'have', 'to', 'do', 'is', 'move', 'on', 'up', 'and', 'keep', 'on', 'wish', 'rememb', 'your', 'dream', 'is', 'your', 'onli', 'scheme', 'so', 'keep', 'on', 'push', 'So', 'hush', 'now', 'child', 'and', 'do', ""n't"", 'you', 'cri', 'your', 'folk', 'might', 'understand', 'you', 'by', 'and', 'by', 'move', 'on', 'up', 'for', 'a', 'greater', 'day', 'but', 'just', 'you', 'gon', 'na', 'make', 'it', 'you', 'put', 'your', 'mind', 'to', 'it', 'you', 'can', 'sure', 'do', 'it', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up', 'move', 'on', 'up', 'move', 'on', 'child', 'I', 'wan', 'na', 'move', 'on', 'up', 'We', 'can', 'to', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up', 'We', 'can', 'to', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up', 'We', 'can', 'to', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up', 'We', 'can', 'to', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up', 'We', 'can', 'to', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up', 'We', 'can', 'to', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up', 'We', 'can', 'to', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up', 'We', 'can', 'to', 'move', 'on', 'up', 'we', 'can', 'to', 'move', 'on', 'up']"
8,bill withers,use me,"['My', 'f-r-i-e-n-d-', '...', 'feel', 'it', ""'s"", 'their', 'appoint', 'duti', 'they', 'keep', 'tryin', ""'"", 'to', 'tell', 'me', 'all', 'you', 'want', 'to', 'do', 'is', 'use', 'me', 'ah-huh', 'but', 'my', 'answer', 'ah-huh', 'they', 'know', 'all', 'that', 'use', 'me', 'stuff', 'ay-ay-ay', 'ye', 'I', 'want', 'spread', 'the', 'news', 'that', 'if', 'it', 'feel', 'thi', 'good', 'gettin', ""'"", 'use', 'Oh', 'you', 'just', 'keep', 'on', 'usin', ""'"", 'me', 'until', 'you', 'use', 'me', 'up', 'until', 'you', 'use', 'me', 'up', 'My', 'brother', 'sit', 'me', 'right', 'down', 'and', 'he', 'talk', 'to', 'me', 'ah-huh', 'he', 'told', 'me', 'ya-huh-huh', 'that', 'I', 'ought', 'not', 'to', 'let', 'you', 'just', 'walk', 'on', 'me', 'and', 'I', ""'m"", 'sure', 'he', 'meant', 'well', 'ah-huh', 'yeah', 'but', 'when', 'our', 'talk', 'wa', 'through', 'ay-ay-ay', 'said', 'brother', 'if', 'you', 'onli', 'knew', 'you', ""'d"", 'wish', 'that', 'you', 'were', 'in', 'my', 'shoe', 'you', 'just', 'keep', 'on', 'usin', ""'"", 'me', 'until', 'you', 'use', 'me', 'up', 'until', 'you', 'use', 'me', 'up', 'ah-huh', 'sometim', 'It', ""'s"", 'true', 'you', 'realli', 'do', 'abus', 'me', 'Ah', 'you', 'get', 'me', 'crowd', 'of', 'high', 'class', 'peopl', 'ah-huh-huh', 'then', 'you', 'act', 'real', 'rude', 'to', 'me', 'ah-huh', 'but', 'oh', 'babi', 'babi', 'babi', 'babi', 'when', 'you', 'love', 'me', 'I', 'ca', ""n't"", 'get', 'enough', 'ah-huh', 'and', 'I', 'wan', 'na', 'spread', 'the', 'news', 'that', 'it', 'feel', 'thi', 'good', 'gettin', ""'"", 'use', 'Oh', 'you', 'just', 'keep', 'on', 'usin', ""'"", 'me', 'until', 'you', 'use', 'me', 'up', 'Ah', 'until', 'you', 'use', 'me', 'up', 'talkin', ""'"", ""'bout"", 'you', 'usin', ""'"", 'peopl', 'It', 'all', 'depend', 'on', 'what', 'you', 'do', 'It', 'ai', ""n't"", 'too', 'bad', 'the', 'way', 'you', ""'re"", 'usin', ""'"", 'me', ""'caus"", 'I', 'sure', 'am', 'usin', ""'"", 'you', 'to', 'do', 'the', 'thing', 'that', 'you', 'do', 'ah-huh', 'to', 'do', 'the', 'thing', 'that', 'you', 'do']"
9,the temptations,papa was a rolling stone,[]
