,Lyrics,labels
0,Red One Sugababes Girls bring the fun of life sugar like apple pie let's have a party-oh! Let's have a party-oh! Let's have a party-oh! You think I'm sexy huh? I'm international think you can make me fall? What do you know? (What do you know) I'm in my Louis Vuitton's fire like a bomb and I'll be ducking calls 'til I go home ('Til I go home) We like them lights (Yeah we love it) Stars and stripes (L-L-love it) All night (Yeah we love it) I can see You don't know about a girl I'll take over the world and I'm gonna party like woah-oh-oh-oh-oh! You don't know about a girl the meaning of the word 'cos we just wanna party like woah-oh-oh-oh-oh! So we gon' take it oh-oh ha-ay-ah oh-oh ha-ay-oh! oh-oh ha-ay-ah oh-oh ha-ay-oh! So we gon' take it oh-oh ha-ay-ah oh-oh ha-ay-oh! oh-oh ha-ay-ah oh-oh ha-ay-oh! The games you play why can't I play that way I'll break your heart and then I'll mend it up (I'll mend it up) Shine like a disco ball your intuition calls but to me that ball is not enough (Not enough) We like them lights (Yeah we love it) Stars and stripes (L-L-love it) All night (Yeah we love it) I can see You don't know about a girl I'll take over the world and I'm gonna party like woah-oh-oh-oh-oh! You don't know about a girl the meaning of the word 'cos we just wanna party like woah-oh-oh-oh-oh! So we gon' take it oh-oh ha-ay-ah oh-oh ha-ay-oh! oh-oh ha-ay-ah oh-oh ha-ay-oh! So we gon' take it oh-oh ha-ay-ah oh-oh ha-ay-oh! oh-oh ha-ay-ah oh-oh ha-ay-oh! Girls bring the fun of life sugar like apple pie take a trip to paradise let's have a party-oh! Beauty like you never saw take your number never call bite the apple take your heart let's have a party-oh! Girls bring the fun of life sugar like apple pie take a trip to paradise let's have a party-oh! Beauty like you never saw take your number never call bite the apple take your heart let's have a party-oh! So we gon' take it oh-oh ha-ay-ah oh-oh ha-ay-oh! oh-oh ha-ay-ah oh-oh ha-ay-oh! So we gon' take it oh-oh ha-ay-ah oh-oh ha-ay-oh! oh-oh ha-ay-ah oh-oh ha-ay-oh! You don't know about a girl I'll take over the world and I'm gonna party like woah-oh-oh-oh-oh! You don't know about a girl the meaning of the word 'cos we just wanna party like woah-oh-oh-oh-oh! So we gon' take it oh-oh ha-ay-ah oh-oh ha-ay-oh! oh-oh ha-ay-ah oh-oh ha-ay-oh! So we gon' take it oh-oh ha-ay-ah oh-oh ha-ay-oh! oh-oh ha-ay-ah oh-oh ha-ay-oh!,1
1,I guess it was yourself you were involved with I would have sworn it was me I might have found out sooner if You'd only let me close enough to see That ain't no way to treat a lady No way to treat your baby Your woman your friend That ain't no way to treat a lady no way But maybe it's a way for us to end I was only bein' a picture With all the colors I know While you were busy looking into Wide blue mirrors and lovin' the show That ain't no way to treat a lady No way to treat your baby Your woman your friend That ain't no way to treat a lady no way But maybe it's a way for us to end There's a funny kind of consolation Keepin' me sane And I'd really like to share it Crawl on deep in my brain You see the time you never felt me Lovin' you or needin' you So leavin' you now You still won't know how to feel the pain I was lookin' out for my happiness While you were looking within And before you know your own reflection Always starts to tire you and it's happened again That ain't no way to treat a lady No way to treat your baby Your woman your friend That ain't no way to treat a lady no way But maybe it's a way for us to end That ain't no way to treat a lady No way to treat your baby Your woman your friend That ain't no way to treat a lady no way But maybe it's a way for us to end,1
2,Bill collectors at my door What can you do for me Hey No romance without finance No romance without finance Boy nothin' in life is free That's why I'm askin' you what can you do for me I've got responsibilities So I'm lookin' for a man whose got money in his hands 'Cause nothin' from nothin' leaves nothin' You got to have somethin' if you wanna be with me Oh life is too serious love's too mysterious A fly girl like me needs security 'Cause ain't nothin' goin' on but the rent You got to have a J-O-B if you wanna be with me Ain't nothin' goin' on but the rent You got to have a J-O-B if you wanna be with me No romance without finance I said no romance without finance Boy you're silky ways are sweet But you're only wastin' time if your pockets are empty I've got lots of love to give But I will have to avoid you if you're unemployed 'Cause nothin' from nothin' leaves nothin' You got to have somethin' if you wanna be with me 'Cause life is too serious love's too mysterious A fly girl like me needs security 'Cause ain't nothin' goin' on but the rent You got to have a J-O-B if you wanna be with me  Ain't nothin' goin' on but the rent You got to have a J-O-B if you wanna be with me No romance without finance I said no romance without finance No romance without finance I said no romance without finance Oh you look good to me Your silky words are sweet But your pockets sure look empty Ooh nothin' from nothin' leaves nothin' You got to have somethin' if you wanna be with me Whoa life is too serious love's too mysterious A fly girl like me needs security I said life is too serious love's too mysterious Fly girl like me needs security 'Cause ain't nothin' goin' on but the rent You got to have a J-O-B if you wanna be with me Ain't nothin' goin' on but the rent You got to have a J-O-B if you wanna be with me No romance without finance No romance without finance No romance without finance I said no romance without finance What can you do for me Oh you look good to me Your silky words are sweet But your pockets sure look empty Ain't nothin' goin' on but the rent I'm lookin' for a man to put some money in my hands,1
3,I ain't cooking all day (I ain't your mama!) I ain't gon' do your laundry (I ain't your mama!) I ain't your mama boy (I ain't your mama!) When you're going get your act together? I ain't your mama... No I ain't your mama No I ain't your mama no! Wake up rise and shine ah-yeah-yeah-yeah Let's get to work on time ah-yeah-yeah-yeah No more playing video games ah-yeah-yeah-yeah Things are about to change I hear I hear... We used to be crazy in love Can we go back to how we were? When did you get too comfortable? Cause I'm too good for that I'm too good for that Just remember that hey I ain't cooking all day I ain't your mama I ain't gon' do your laundry I ain't your mama I ain't your mama boy I ain't your mama When you're going get your act together? I ain't your mama No I ain't your mama No I ain't your mama no Lucky to have these curves ah-yeah-yeah-yeah Stuck hitting on my nerves ah-yeah-yeah-yeah You're still tryna ride this train? Ah-yeah-yeah-yeah But something's gotta change ah-yeah-yeah-yeah We used to be crazy in love Can we go back to how we were? When did you get too comfortable? Cause I'm too good for that I'm too good for that Just remember that hey! I ain't gon' be cooking all day I ain't your mama (I ain't your mama no) I ain't gon' do your laundry I ain't your mama (I ain't your mama hey) I ain't your mama boy I ain't your mama When you're gon' get your act together? I ain't your mama (I ain't your mama) No I ain't your mama No I ain't your mama no I ain't your mama no We used to be crazy in love Can we go back to how we were? When did you get too comfortable? Cause I'm too good for that I'm too good for that Just remember that hey I ain't gon' be cooking all day I ain't your mama (I ain't your mama) I ain't gon' do your laundry I ain't your mama (I ain't your mama) I ain't your mama boy (No no no) I ain't your mama boy (No no) When you're gon' get your act together? (Cause I ain't your mama hey) I ain't gon' be cooking all day I ain't your mama I ain't gon' do your laundry I ain't your mama (I ain't your mama hey) I ain't your mama boy (Na na na...) I ain't your mama boy (Na na na...) When you're gon' get your act together? (No I ain't your mama no...) No I ain't your mama No I ain't your mama (No I ain't your mama no...!),1
4,All hands on deck All in front all in the back just like that like that I'mma blow your mind take it out on the floor like that like that All in the front all in the back just like that like that I'mma blow your mind like that Wasted hard When you left me you left me with no choice I'm looking for a boy to fill this empty void Kiss the old me goodbye she's dead and gone dead and gone oh Wasted hard You took the last bit of love I've ever had You took a good girl and you turned me oh so bad Kiss the old me goodbye she's dead and gone dead and gone oh All hands on deck All in front all in the back just like that like that I'mma blow your mind take it out on the floor like that like that All in the front all in the back just like that like that I'mma blow your mind like that All hands on deck All in front all in the back just like that like that I'mma blow your mind take it out on the floor like that like that All in the front all in the back just like that like that I'mma blow your mind like that Wasted hard ---use to death do us apart I watch you fold like a house of cards Kiss the old me goodbye she's dead and gone dead and gone dead and gone One by one I watch you fall down watch you fall like dominoes Take no prisoners  and destroy Baby look at what you've done One by one I watch 'em go down watch 'em fall like dominoes Watch 'em go down watch 'em go down watch 'em go down All hands on deck All in front all in the back just like that like that I'mma blow your mind take it out on the floor like that like that All in the front all in the back just like that like that I'mma blow your mind like that And you know that I tried Really gave my all Everything we built Baby you let it fall you let it fall And now you want me Want me back now And the thing that's so funny Is baby I'm long gone I'm long gone All hands on deck All in front all in the back just like that like that I'mma blow your mind take it out on the floor like that like that All in the front all in the back just like that like that I'mma blow your mind like that All hands on deck All in front all in the back just like that like that I'mma blow your mind take it out on the floor like that like that All in the front all in the back just like that like that I'mma blow your mind like that,1
5,"Hit it This ain't no disco It ain't no country club either This is L.A. ""All I wanna do is have a little fun before I die"" Says the man next to me out of nowhere It's apropos of nothing he says his name is William But I'm sure he's Bill or Billy or Mac or Buddy And he's plain ugly to me And I wonder if he's ever had a day of fun in his whole life We are drinking beer at noon on Tuesday In a bar that faces a giant car wash The good people of the world Are washing their cars on their lunch break Hosing and scrubbing as best they can in skirts in suits They drive their shiny Datsuns and Buicks Back to the phone company the record store too Well they're nothing like Billy and me 'Cause all I wanna do is have some fun I got a feeling I'm not the only one All I wanna do is have some fun I got a feeling I'm not the only one All I wanna do is have some fun Until the sun comes up Over Santa Monica Boulevard I like a good beer buzz early in the morning And Billy likes to peel the labels from his bottles of Bud He shreds them on the bar then he lights every match In an oversized pack letting each one burn Down to his thick fingers before blowing and cursing them out And he's watching the bottles of Bud As they spin on the floor And a happy couple enters the bar Dangerously close to one another The bartender looks up from his want ads But all I wanna do is have some fun I got a feeling I'm not the only one All I wanna do is have some fun I got a feeling I'm not the only one All I wanna do is have some fun Until the sun comes up Over Santa Monica Boulevard Otherwise the bar is ours The day and the night and the car wash too The matches and the Buds and the clean and dirty cars The sun and the moon But all I wanna do is have some fun I got a feeling I'm not the only one All I wanna do is have some fun I got a feeling the party has just begun All I wanna do is have some fun I won't tell you that you're the only one All I wanna do is have some fun Until the sun comes up Over Santa Monica Boulevard Until the sun comes up Over Santa Monica Boulevard",1
6,He's home again from another day She smiles at him as he walks through the door She wonders if it will be okay It's hard for her when he doesn't respond He says babe you look a mess You look dowdy in that dress It's just not like it used to be Then she says... I may not be a lady But I'm all woman From monday to sunday I work harder than you know I'm no classy lady But I'm all woman And this woman needs a little love to make her strong You're not the only one She stands there and lets the tears flow Tears that she's been holding back so long She wonders where did all the loving go The love they used to share when they were strong She says yes I look a mess But I don't love you any less I thought you always thought enough of me to always be impressed I may not be a lady But I'm all woman From monday to sunday I work harder than you know I'm no classy lady But I'm all woman And this woman needs a little love to make her strong You're not the only one He holds her and hangs his head in shame He doesn't see her like he used to do He's too wrapped up in working for his pay He hasn't seen the pain he's put her through Attention that he paid Just vanished in the haze He remembers how it used to be When he used to say You'll always be a lady 'Cos you're all woman From monday to sunday I love you much more than you know You're a classy lady 'Cos you're all woman This woman needs a loving man to keep her warm You're the only one You're a classy lady 'Cos you're all woman So sweet the love that used to be So sweet the love that used to be We can be sweet again...,1
7,And now little lady if you'll kindly step up to the parapet I'll give you a lesson in marksmanship You couldn't give me a lesson in long distance spittin'  Anything you can do I can do better I can do any thing better than you  No you can't yes I can No you can't yes I can No you can't yes I can yes I can  Anything you can be I can be greater Sooner or later I'm greater than you  No you're not yes I am No you're not yes I am No you're not yes I am yes I am  I can shoot a partridge with a single cartridge I can get a sparrow with a bow and arrow I can live on bread and cheese And only on that? Yes so can a rat  Any note you can reach I can go higher I can sing anything higher than you  No you can't yes I can No you can't yes I can No you can't yes I can No you can't yes I can No you can't yes I can  Anything you can buy I can buy cheaper I can buy anything cheaper than you  Fifty cents forty cents Thirty cents twenty cents No you can't yes I can yes I can  Anything you can say I can say softer I can say anything softer than you  No you can't yes I can No you can't yes I can No you can't yes I can yes I can  I can drink my liquor faster than a flicker I can do it quicker and get even sicker I can open any safe Without bein' caught? Sure That's what I thought you crook  Any note you can hold I can hold longer I can hold any note longer than you  No you can't yes I can No you can't yes I can No you can't yes I can No you can't yes I can Yes you can  Anything you can wear I can wear better In what you wear I'd look better than you  In my coat? In your vest In my shoes? In your hat No you can't yes I can yes I can  Anything you say I can say faster I can say anything faster than you  No you can't yes I can No you can't yes I can No you can't yes I can No you can't yes I can No you can't yes I can No you can't yes I can No you can't yes I can No you can't yes I can  I can jump a hurdle I can wear a girdle I can knit a sweater I can fill it better I can do most anything Can you bake a pie? No Neither can I  Anything you can sing I can sing sweeter I can sing anything sweeter than you  No you can't yes I can No you can't oh yes I can No you can't yes I can No you can't yes I can No you can't can't can't Yes I can can can Yes I can No you can't ,1
8,Every time that I sell myself to you I feel a little bit cheaper than I need to I will tear the petals off of you Rose red I will make you tell the truth  Was she asking for it? Was she asking nice? If she was asking for it Did she ask you twice?  Every time that I stare into the sun Angel dust and my dress just comes undone Every time that I stare into the sun Be a model or just look like one Wild eye rot gut do me in Do you think you can make me do it again?  Was she asking for it? Was she asking nice? If she was asking for it Did she ask you twice?  If you live through this with me I swear that I would die for you And if you live through this with me I swear that I would die for you  Was she asking for it? Was she asking nice? If she was asking for it Did she ask you twice?  Was she asking for it? Was she asking nice? If she was asking for it Did she ask you twice? ,1
9,(Treat him like a lady) Uh-huh Uh-huh I like chocolate and controversy He likes fridays and bad company I like midnight it's when I'm in the mood But he likes the morning that's when he's rude Just a bad case of opposite sex have to look to the stars all we need is a little respect coz men are from venus and girls are from mars bag it up don't drop the baby boot him out no buts or maybe wind him up and make him crazy woah woah woah woah take him back dont drop the baby spin him out no buts or maybe do your thing come on lady Woah woah woah woah lady I don't take sugar on my colour tv yet he likes it loaded with eye candy I need some space and he needs a room But then he keeps me waiting by leaving too soon. just a bad case of opposite sex have to look to the stars All we need is a little respect coz men are from venus ans girls are from mars CHORUS (Uh yeah) (Uh yeah) Treat him like a lady Treat him like a lady Tease him please me chase me yeah. Just a bad case of opposite sex have to look to the stars all we need is a little respect coz men are from venus and girls are from mars Chorus Treat him like a lady (bag it up) Treat him like a lady (bag it up) Treat him like a lady (bag it up) Woah woah woah woah Treat him like a lady (bag it up) Sweet him like a lady (bag it up) Treat him like a lady (bag it up) Woah woah woah woah You know what to do now you're in control who's wearing the trousers now?,1
